交通調査基本区間番号,路線名,起点側／路線名等,終点側／路線名等,市区町村コード,自動車専用道路の別,区間延長（ｋｍ）,上り／交通量観測地点地名,上り／２４時間自動車類交通量／合計（台）,下り／交通量観測地点地名,下り／２４時間自動車類交通量／合計（台）,２４時間自動車類交通量（上下合計）／合計（台）,昼夜率,混雑度,朝夕（混雑時）／上り／旅行速度／合計（ｋｍ／ｈ）,朝夕（混雑時）／下り／旅行速度／合計（ｋｍ／ｈ）,幅員構成／道路部幅員（ｍ）,指定最高速度（ｋｍ／ｈ）
44100330010,東九州自動車道,東九州自動車道,一般国道２１２号,44203,1,5,上毛スマート～中津,3216,上毛スマート～中津,3252,6468,1.29,0.47,86.7,83.4,10.5,70
44100330020,東九州自動車道,一般国道２１２号,中津市・宇佐市境,44203,1,2.5,中津～宇佐,3660,中津～宇佐,3545,7205,1.26,0.56,84.2,83.7,10.5,70
44100330030,東九州自動車道,中津市・宇佐市境,一般国道１０号（宇佐別府道路）,44211,1,5.5,中津～宇佐,3660,中津～宇佐,3545,7205,1.26,0.56,87.7,87.3,10.5,70
44113010010,東九州自動車道,九州横断自動車道長崎大分線,一般国道１９７号,44201,1,6.2,大分米良～大分宮河内,7035,大分米良～大分宮河内,6612,13647,1.23,0.32,87.7,91.1,23.5,80
44113010020,東九州自動車道,一般国道１９７号,大分市・臼杵市境,44201,1,4.5,大分宮河内～臼杵,5309,大分宮河内～臼杵,5239,10548,1.23,1.35,80.5,80.6,10.5,70
44113010030,東九州自動車道,大分市・臼杵市境,臼杵市・大分市境,44206,1,1,大分宮河内～臼杵,5309,大分宮河内～臼杵,5239,10548,1.23,1.35,80.7,78.4,10.5,70
44113010040,東九州自動車道,臼杵市・大分市境,大分市・臼杵市境,44201,1,0.8,大分宮河内～臼杵,5309,大分宮河内～臼杵,5239,10548,1.23,1.35,79.1,78.7,10.5,70
44113010050,東九州自動車道,大分市・臼杵市境,一般国道５０２号,44206,1,7.7,大分宮河内～臼杵,5309,大分宮河内～臼杵,5239,10548,1.23,1.35,80.4,84,10.5,70
44113010060,東九州自動車道,一般国道５０２号,臼杵市・津久見市境,44206,1,4.7,臼杵～津久見,4604,臼杵～津久見,4491,9095,1.22,1.27,78.3,80.7,10.5,70
44113010070,東九州自動車道,臼杵市・津久見市境,津久見インター線,44207,1,2.3,臼杵～津久見,4604,臼杵～津久見,4491,9095,1.22,1.27,78.3,80.9,10.5,70
44113010080,東九州自動車道,津久見インター線,津久見市・佐伯市境,44207,1,4.8,津久見～佐伯,4068,津久見～佐伯,3934,8002,1.22,1.1,82.3,80.3,10.5,70
44113010090,東九州自動車道,津久見市・佐伯市境,東九州自動車道,44205,1,8.2,津久見～佐伯,4068,津久見～佐伯,3934,8002,1.22,1.1,82.5,76.9,10.5,70
44113120010,九州横断自動車道長崎大分線,九州横断自動車道長崎大分線,一般国道２１２号,44204,1,9.7,杷木～日田,6366,杷木～日田,6242,12608,1.24,0.32,94,93.9,22,80
44113120020,九州横断自動車道長崎大分線,一般国道２１２号,日田市・玖珠町境,44204,1,13.1,日田～天瀬高塚,5510,日田～天瀬高塚,5409,10919,1.24,0.24,94.4,92.5,20.5,80
44113120030,九州横断自動車道長崎大分線,日田市・玖珠町境,玖珠天瀬線,44462,1,0.3,日田～天瀬高塚,5510,日田～天瀬高塚,5409,10919,1.24,0.24,95.7,92,20.5,80
44113120040,九州横断自動車道長崎大分線,玖珠天瀬線,一般国道３８７号,44462,1,11.3,天瀬高塚～玖珠,5506,天瀬高塚～玖珠,5395,10901,1.23,0.24,86.8,91,20.5,80
44113120050,九州横断自動車道長崎大分線,一般国道３８７号,玖珠町・九重町境,44462,1,2.7,玖珠～九重,5538,玖珠～九重,5423,10961,1.23,0.23,96,93.7,20.5,80
44113120060,九州横断自動車道長崎大分線,玖珠町・九重町境,飯田高原中村線,44461,1,6.8,玖珠～九重,5538,玖珠～九重,5423,10961,1.23,0.23,94.7,94.5,20.5,80
44113120070,九州横断自動車道長崎大分線,飯田高原中村線,九重町・由布市境,44461,1,8.7,九重～湯布院,6037,九重～湯布院,5951,11988,1.23,0.26,93.3,90.2,20.5,80
44113120080,九州横断自動車道長崎大分線,九重町・由布市境,一般国道２１０号,44213,1,3.6,九重～湯布院,6037,九重～湯布院,5951,11988,1.23,0.26,91.7,90.9,20.5,80
44113120085,九州横断自動車道長崎大分線,一般国道２１０号,塚原天間線,44213,1,9.1,湯布院～由布岳スマート,5883,湯布院～由布岳スマート,5676,11559,1.21,0.26,95.1,92.5,22,80
44113120090,九州横断自動車道長崎大分線,塚原天間線,由布市・別府市境,44213,1,2.3,湯布院～由布岳スマート,5883,湯布院～由布岳スマート,5676,11559,1.21,0.26,94.1,95.2,22,80
44113120100,九州横断自動車道長崎大分線,由布市・別府市境,別府市・日出町境,44202,1,3.2,湯布院～由布岳スマート,5883,湯布院～由布岳スマート,5676,11559,1.21,0.26,91.2,97.1,22,80
44113120110,九州横断自動車道長崎大分線,別府市・日出町境,九州横断自動車道長崎大分線,44341,1,2.1,湯布院～由布岳スマート,5883,湯布院～由布岳スマート,5676,11559,1.21,0.26,87.7,96,22,80
44113120120,九州横断自動車道長崎大分線,九州横断自動車道長崎大分線,日出町・別府市境,44341,1,0.7,日出JCT～別府湾スマート,11195,日出JCT～別府湾スマート,11153,22348,1.23,0.45,87.2,91.3,22,80
44113120130,九州横断自動車道長崎大分線,日出町・別府市境,別府山香線,44202,1,1.8,日出JCT～別府湾スマート,11195,日出JCT～別府湾スマート,11153,22348,1.23,0.45,81.2,87.8,22,80
44113120140,九州横断自動車道長崎大分線,別府山香線,別府一の宮線,44202,1,4.7,別府湾スマート～別府,11216,別府湾スマート～別府,11174,22390,1.23,0.45,85.3,58.3,22,80
44113120150,九州横断自動車道長崎大分線,別府一の宮線,別府市・由布市境,44202,1,6.7,別府～大分,10968,別府～大分,10898,21866,1.22,0.52,90.8,75.4,22,80
44113120160,九州横断自動車道長崎大分線,別府市・由布市境,由布市・大分市境,44213,1,3.9,別府～大分,10968,別府～大分,10898,21866,1.22,0.52,89.5,92.1,22,80
44113120170,九州横断自動車道長崎大分線,由布市・大分市境,大分臼杵線,44201,1,4.2,別府～大分,10968,別府～大分,10898,21866,1.22,0.52,88.8,89.4,22,80
44113120180,九州横断自動車道長崎大分線,大分臼杵線,大分光吉インター線,44201,1,4.4,大分～大分光吉,8993,大分～大分光吉,8494,17487,1.21,0.35,89.6,89.3,22,80
44113120190,九州横断自動車道長崎大分線,大分光吉インター線,東九州自動車道,44201,1,3.4,大分光吉～大分米良,9782,大分光吉～大分米良,9050,18832,1.21,0.36,88.5,87.5,22,80
44113120210,九州横断自動車道長崎大分線,九州横断自動車道長崎大分線,一般国道１０号（宇佐別府道路）,44341,1,3.3,速見～日出JCT,7189,速見～日出JCT,7036,14225,1.22,0.34,80.1,85.6,20.5,70
44113010120,東九州自動車道,一般国道３８８号,古江丸市尾線,44205,1,8.8,佐伯市蒲江大字森崎浦,2191,佐伯市蒲江大字森崎浦,2086,4277,1.24,0.7,85.1,84.9,12,80
44113010130,東九州自動車道,古江丸市尾線,東九州自動車道,44205,1,0.9,延岡市北浦町三川内,2122,延岡市北浦町三川内,1990,4112,1.24,0.71,89.1,82.9,12,80
44113010100,東九州自動車道,東九州自動車道,赤木吹原佐伯線,44205,1,5.1,佐伯市大字長谷,2725,佐伯市大字長谷,2574,5299,1.24,0.41,79.9,83.6,12,80
44113010110,東九州自動車道,赤木吹原佐伯線,一般国道３８８号,44205,1,15.3,佐伯市大字青山,2978,佐伯市大字青山,2909,5887,1.23,0.64,85.9,84.1,12,80
44300100010,一般国道１０号,一般国道１０号,円座中津線,44203,0,0.2,中津市伊藤田,6475,中津市伊藤田,6290,12765,1.3,0.96,55.7,32.9,10.25,60
44300100020,一般国道１０号,円座中津線,臼木沖代線,44203,0,1,中津市伊藤田,6475,中津市伊藤田,6290,12765,1.3,0.38,47.8,43.2,31,60
44300100030,一般国道１０号,臼木沖代線,一般国道２１２号,44203,0,4.2,中津市伊藤田,6475,中津市伊藤田,6290,12765,1.3,0.48,51.9,53.1,44.5,60
44300100040,一般国道１０号,一般国道２１２号,中津市・宇佐市境,44203,0,1.5,中津市伊藤田,6475,中津市伊藤田,6290,12765,1.3,0.48,65.5,64.7,44.5,60
44300100050,一般国道１０号,中津市・宇佐市境,深秣植野線,44211,0,0.2,中津市伊藤田,6475,中津市伊藤田,6290,12765,1.3,0.35,42.3,42.1,28.5,60
44300100060,一般国道１０号,深秣植野線,一般国道２１３号,44211,0,1.2,中津市伊藤田,6475,中津市伊藤田,6290,12765,1.3,0.9,49.3,23.4,28.5,60
44300100070,一般国道１０号,一般国道２１３号,尾永井猿渡線,44211,0,1.6,宇佐市南敷田,10005,宇佐市南敷田,10067,20072,1.25,0.69,43.7,35.3,30,60
44300100080,一般国道１０号,尾永井猿渡線,一般国道１０号,44211,0,0.8,宇佐市南敷田,10005,宇佐市南敷田,10067,20072,1.25,0.69,37.6,41.5,30,60
44300100090,一般国道１０号,一般国道１０号,宇佐本耶馬溪線,44211,0,2.7,宇佐市猿渡1335-1,6970,宇佐市猿渡1335-1,7370,14340,1.26,0.98,41,40.9,11.5,50
44300100095,一般国道１０号,宇佐本耶馬溪線,,44211,0,1.6,宇佐市四日市128,8276,宇佐市四日市128,8936,17212,1.26,1.46,22.4,22.2,12.5,50
44300100100,一般国道１０号,,一般国道３８７号,44211,0,0.8,宇佐市四日市128,8276,宇佐市四日市128,8936,17212,1.26,1.46,26.8,17.9,12.5,50
44300100110,一般国道１０号,一般国道３８７号,佐田駅川線,44211,0,0.4,宇佐市北宇佐1623-1,6517,宇佐市北宇佐1623-1,6100,12617,1.25,1.2,18.3,26.2,11.5,50
44300100120,一般国道１０号,佐田駅川線,長洲宇佐神宮線,44211,0,1.3,宇佐市北宇佐1623-1,6517,宇佐市北宇佐1623-1,6100,12617,1.25,1.2,34.8,40.2,11.5,50
44300100130,一般国道１０号,長洲宇佐神宮線,下矢部宇佐線,44211,0,0.6,宇佐市北宇佐1623-1,6517,宇佐市北宇佐1623-1,6100,12617,1.25,1.2,38.6,41.9,11.5,50
44300100140,一般国道１０号,下矢部宇佐線,和気佐野線,44211,0,2.8,宇佐市北宇佐1623-1,6517,宇佐市北宇佐1623-1,6100,12617,1.25,1.28,40.4,39.1,12,50
44300100150,一般国道１０号,和気佐野線,長洲宇佐線,44211,0,0.7,宇佐市岩崎418-1,6952,宇佐市岩崎418-1,6679,13631,1.27,1.19,37.2,35.2,12,50
44300100160,一般国道１０号,長洲宇佐線,一般国道２１３号,44211,0,0.7,宇佐市岩崎418-1,6952,宇佐市岩崎418-1,6679,13631,1.27,1.19,35.9,31,12,50
44300100170,一般国道１０号,一般国道２１３号,宇佐停車場線,44211,0,0.4,杵築市山香町,4536,杵築市山香町,4367,8903,1.36,0.78,28,36.6,11.5,60
44300100180,一般国道１０号,宇佐停車場線,宇佐市・杵築市境,44211,0,4.1,杵築市山香町,4536,杵築市山香町,4367,8903,1.36,0.78,56.9,59.6,11.5,60
44300100190,一般国道１０号,宇佐市・杵築市境,市道（旧：新城山香線）,44210,0,6,杵築市山香町,4536,杵築市山香町,4367,8903,1.36,0.78,57,57.1,11.5,50
44300100200,一般国道１０号,市道（旧：新城山香線）,新城山香線,44210,0,4,杵築市山香町,4536,杵築市山香町,4367,8903,1.36,0.78,53.6,51.6,11.5,50
44300100210,一般国道１０号,新城山香線,山香院内線,44210,0,2,杵築市山香町,4536,杵築市山香町,4367,8903,1.36,0.78,38.7,36.9,11.5,50
44300100220,一般国道１０号,山香院内線,山香国見線,44210,0,3,速見郡日出町藤原赤松,6038,速見郡日出町藤原赤松,6196,12234,1.25,1.12,45.2,50,12.5,50
44300100230,一般国道１０号,山香国見線,杵築市・日出町境,44210,0,2.4,速見郡日出町藤原赤松,6038,速見郡日出町藤原赤松,6196,12234,1.25,1.12,54.2,55.6,12.5,50
44300100240,一般国道１０号,杵築市・日出町境,藤原杵築線,44341,0,1.4,速見郡日出町藤原赤松,6038,速見郡日出町藤原赤松,6196,12234,1.25,1.17,50.4,36.6,10.25,50
44300100250,一般国道１０号,藤原杵築線,一般国道１０号（日出バイパス）,44341,0,4.4,速見郡日出町藤原,8620,速見郡日出町藤原,8874,17494,1.26,0.52,47.2,43.5,25,50
44300100260,一般国道１０号,一般国道１０号（日出バイパス）,一般国道２１３号,44341,0,1.4,速見郡日出町藤原,8620,速見郡日出町藤原,8874,17494,1.26,0.52,34,22.8,25,50
44300100270,一般国道１０号,一般国道２１３号,日出山香線,44341,0,4.1,速見郡日出町平道,18270,速見郡日出町平道,20850,39120,1.35,0.75,32.4,36.4,24.25,60
44300100280,一般国道１０号,日出山香線,日出町・別府市境,44341,0,1.2,別府市古市町,22829,別府市古市町,22755,45584,1.29,0.67,37.4,33.8,24,60
44300100290,一般国道１０号,日出町・別府市境,亀川別府線,44202,0,1.3,別府市古市町,22829,別府市古市町,22755,45584,1.29,0.85,32.7,22,34.75,60
44300100300,一般国道１０号,亀川別府線,鉄輪亀川線,44202,0,2,別府市古市町,22829,別府市古市町,22755,45584,1.29,0.94,45.6,38.9,30.5,60
44300100310,一般国道１０号,鉄輪亀川線,一般国道５００号,44202,0,1.5,別府市上人ヶ浜町,26051,別府市上人ヶ浜町,25343,51394,1.29,0.92,33.9,23.7,30.25,50
44300100315,一般国道１０号,一般国道５００号,,44202,0,1.4,別府市北浜,42241,別府市北浜,25452,67693,1.3,1.7,28.9,24.1,29.5,50
44300100320,一般国道１０号,,別府停車場線,44202,0,1.5,別府市北浜,42241,別府市北浜,25452,67693,1.3,1.7,24.2,17.9,29.5,50
44300100330,一般国道１０号,別府停車場線,別府庄内線,44202,0,0.3,別府市北浜,42241,別府市北浜,25452,67693,1.3,1.7,24.6,19.8,29.5,50
44300100335,一般国道１０号,別府庄内線,別府挾間線,44202,0,0.8,別府市北浜,42241,別府市北浜,25452,67693,1.3,1.7,19.6,30,29.5,50
44300100340,一般国道１０号,別府挾間線,別府挾間線,44202,0,0.4,別府市北浜,42241,別府市北浜,25452,67693,1.3,1.7,19.6,37.4,29.5,50
44300100350,一般国道１０号,別府挾間線,別府市・大分市境,44202,0,0.6,大分市田ノ浦,32276,大分市田ノ浦,31982,64258,1.37,0.77,25,56.4,40,50
44300100360,一般国道１０号,別府市・大分市境,高崎大分線,44201,0,6.6,大分市田ノ浦,32276,大分市田ノ浦,31982,64258,1.37,0.77,57.7,43.1,40,60
44300100370,一般国道１０号,高崎大分線,西大分停車場線,44201,0,0.2,大分市田ノ浦,32276,大分市田ノ浦,31982,64258,1.37,1.28,13.3,30.6,31,50
44300100380,一般国道１０号,西大分停車場線,大在大分港線,44201,0,0.2,大分市田ノ浦,32276,大分市田ノ浦,31982,64258,1.37,1.28,11.3,29.6,31,50
44300100385,一般国道１０号,大在大分港線,,44201,0,1.5,大分市王子南町,17635,大分市王子南町,18155,35790,1.3,0.83,17,19.4,30,50
44300100390,一般国道１０号,,一般国道１９７号,44201,0,0.4,大分市王子南町,17635,大分市王子南町,18155,35790,1.3,0.83,15,7.9,30,50
44300100394,一般国道１０号,一般国道１９７号,,44201,0,1,大分市顕徳町,16266,大分市顕徳町,14220,30486,1.29,0.64,12,11.7,30,50
44300100397,一般国道１０号,,,44201,0,0.4,大分市顕徳町,16266,大分市顕徳町,14220,30486,1.29,0.64,17.1,15.5,30,50
44300100400,一般国道１０号,,（旧）一般国道１０号,44201,0,0.1,大分市顕徳町,16266,大分市顕徳町,14220,30486,1.29,0.64,15.6,17.7,30,50
44400210035,一般国道１０号,（旧）一般国道１０号,一般国道１０号,44201,0,0.2,大分市元町5-42,10681,大分市元町5-42,11307,21988,1.28,0.64,22.9,16.6,12,50
44300100930,一般国道１０号,大分臼杵線,（旧）一般国道１０号,44201,0,0.6,大分市元町5-42,11307,大分市元町5-42,10681,21988,1.28,0.64,5.5,16.6,12,50
44300100410,一般国道１０号,（旧）一般国道１０号,大分臼杵線,44201,0,0.2,大分市元町5-42,11307,大分市元町5-42,10681,21988,1.28,0.64,20.5,11.3,12,50
44300100420,一般国道１０号,大分臼杵線,,44201,0,1.2,大分市元町5-42,11307,大分市元町5-42,10681,21988,1.28,1.78,17.8,15,12,50
44300100430,一般国道１０号,,一般国道２１０号,44201,0,1.6,大分市古国府,8836,大分市古国府,8228,17064,1.25,1.32,16.9,18.1,12,50
44300100435,一般国道１０号,一般国道２１０号,,44201,0,0.5,大分市光吉,23371,大分市光吉,23177,46548,1.31,1.32,20.4,9,22.5,50
44300100440,一般国道１０号,,一般国道２１０号,44201,0,0.1,大分市光吉,23371,大分市光吉,23177,46548,1.31,1.32,21.4,10.6,22.5,50
44300100445,一般国道１０号,一般国道２１０号,,44201,0,0.2,大分市宮崎,18243,大分市宮崎,18625,36868,1.33,1.18,11.1,12.9,22,50
44300100450,一般国道１０号,,西寒多寒田線,44201,0,0.7,大分市宮崎,18243,大分市宮崎,18625,36868,1.33,1.18,15.7,23.4,22,50
44300100455,一般国道１０号,西寒多寒田線,,44201,0,0.7,大分市宮崎,18243,大分市宮崎,18625,36868,1.33,1.18,16.9,27,22,50
44300100460,一般国道１０号,,,44201,0,1.1,大分市宮崎,18243,大分市宮崎,18625,36868,1.33,1.18,17.9,15.9,22,50
44300100470,一般国道１０号,,,44201,0,2.1,大分市旦野原,14400,大分市旦野原,14226,28626,1.31,1.86,22.8,21,9.75,50
44300100480,一般国道１０号,,一般国道１０号,44201,0,0.7,大分市中判田1748-1,12692,大分市中判田1748-1,12338,25030,1.32,1.73,13.6,23.5,9.75,50
44300100490,一般国道１０号,一般国道１０号,中判田停車場線,44201,0,0.2,大分市中判田1748-1,12692,大分市中判田1748-1,12338,25030,1.32,1.73,12,15.9,9.75,50
44300100500,一般国道１０号,中判田停車場線,鶴崎大南線,44201,0,0.4,大分市中判田1748-1,12692,大分市中判田1748-1,12338,25030,1.32,1.73,15,27.2,9.75,50
44300100510,一般国道１０号,鶴崎大南線,坂ノ市中戸次線,44201,0,1.8,中戸次川床,18597,中戸次川床,19081,37678,1.27,1.26,20.9,32.2,32.25,50
44300100520,一般国道１０号,坂ノ市中戸次線,坂ノ市中戸次線,44201,0,0.1,中戸次川床,18597,中戸次川床,19081,37678,1.27,1.26,22.4,23.7,32.25,50
44300100530,一般国道１０号,坂ノ市中戸次線,弓立上戸次線,44201,0,0.8,中戸次川床,18597,中戸次川床,19081,37678,1.27,1.26,29.7,23.8,32.25,50
44300100540,一般国道１０号,弓立上戸次線,臼杵上戸次線,44201,0,3.5,大分市上戸次,13284,大分市上戸次,12991,26275,1.28,0.82,47.9,51.3,25.75,60
44300100550,一般国道１０号,臼杵上戸次線,一般国道５７号,44201,0,3.4,大分市上戸次,13284,大分市上戸次,12991,26275,1.28,0.82,55.5,55.7,25.75,60
44300100560,一般国道１０号,一般国道５７号,大分市・豊後大野市境,44201,0,0.3,豊後大野市犬飼町久原,5703,豊後大野市犬飼町久原,5142,10845,1.3,0.75,59.7,55.7,35.25,50
44300100570,一般国道１０号,大分市・豊後大野市境,一般国道３２６号,44212,0,1.7,豊後大野市犬飼町久原,5703,豊後大野市犬飼町久原,5142,10845,1.3,0.76,56.8,54.3,13.5,50
44300100580,一般国道１０号,一般国道３２６号,豊後大野市・臼杵市境,44212,0,1.6,臼杵市野津町大字西寒田字鍋田,3251,臼杵市野津町大字西寒田字鍋田,3466,6717,1.27,0.5,52.4,55.5,13.5,50
44300100590,一般国道１０号,豊後大野市・臼杵市境,百枝浅瀬野津線,44206,0,0.9,臼杵市野津町大字西寒田字鍋田,3251,臼杵市野津町大字西寒田字鍋田,3466,6717,1.27,0.52,59.3,58.4,11,50
44300100600,一般国道１０号,百枝浅瀬野津線,吉野原犬飼線,44206,0,0.4,臼杵市野津町大字西寒田字鍋田,3251,臼杵市野津町大字西寒田字鍋田,3466,6717,1.27,0.52,53.5,53.6,11,50
44300100610,一般国道１０号,吉野原犬飼線,一般国道５０２号,44206,0,2.8,臼杵市野津町大字西寒田字鍋田,3251,臼杵市野津町大字西寒田字鍋田,3466,6717,1.27,0.52,54.3,51.2,11,50
44300100620,一般国道１０号,一般国道５０２号,津久見野津線,44206,0,1.2,臼杵市野津町大字野津市,5279,臼杵市野津町大字野津市,4555,9834,1.23,1,38.6,37.1,14.05,50
44300100630,一般国道１０号,津久見野津線,一般国道５０２号,44206,0,1.1,臼杵市野津町大字野津市,5279,臼杵市野津町大字野津市,4555,9834,1.23,1,32.8,30.8,14.05,50
44300100640,一般国道１０号,一般国道５０２号,川登臼杵線,44206,0,2.2,佐伯市弥生大字尺間,3065,佐伯市弥生大字尺間,3014,6079,1.3,0.54,42.9,47.5,9.5,50
44300100645,一般国道１０号,川登臼杵線,野津宇目線,44206,0,1,佐伯市弥生大字尺間,3065,佐伯市弥生大字尺間,3014,6079,1.3,0.54,54.5,54.7,9.5,50
44300100650,一般国道１０号,野津宇目線,野津宇目線,44206,0,0.6,佐伯市弥生大字尺間,3065,佐伯市弥生大字尺間,3014,6079,1.3,0.54,49.5,42.2,9.5,50
44300100660,一般国道１０号,野津宇目線,臼杵市・佐伯市境,44206,0,7.3,佐伯市弥生大字尺間,3065,佐伯市弥生大字尺間,3014,6079,1.3,0.54,56.6,54.4,9.5,50
44300100670,一般国道１０号,臼杵市・佐伯市境,佐伯弥生線,44205,0,8.3,佐伯市弥生大字尺間,3065,佐伯市弥生大字尺間,3014,6079,1.3,0.81,54.1,50.2,11.5,50
44300100680,一般国道１０号,佐伯弥生線,三重弥生線,44205,0,1.6,佐伯市弥生大字小田,4541,佐伯市弥生大字小田,4853,9394,1.14,0.83,35.2,36.4,9.75,50
44300100690,一般国道１０号,三重弥生線,一般国道２１７号,44205,0,1.6,佐伯市弥生大字小田,4541,佐伯市弥生大字小田,4853,9394,1.14,0.83,33,25.4,9.75,50
44300100700,一般国道１０号,一般国道２１７号,笠掛直見停車場線,44205,0,5.2,佐伯市弥生大字門田,4093,佐伯市弥生大字門田,4032,8125,1.19,0.83,47.4,49.7,11,50
44300100710,一般国道１０号,笠掛直見停車場線,赤木吹原佐伯線,44205,0,5.2,佐伯市直川大字下直見,2332,佐伯市直川大字下直見,2183,4515,1.19,0.6,52.5,53.4,11,50
44300100720,一般国道１０号,赤木吹原佐伯線,赤木吹原佐伯線,44205,0,0.1,佐伯市直川大字下直見,2332,佐伯市直川大字下直見,2183,4515,1.19,0.6,45,44.4,11,50
44300100730,一般国道１０号,赤木吹原佐伯線,上爪横川線,44205,0,1.4,佐伯市直川大字下直見,2332,佐伯市直川大字下直見,2183,4515,1.19,0.6,48.1,50.9,11,50
44300100740,一般国道１０号,上爪横川線,小野市重岡線,44205,0,8,佐伯市宇目大字大平,285,佐伯市宇目大字大平,309,594,1.17,0.15,50.7,54.6,8,50
44300100750,一般国道１０号,小野市重岡線,一般国道１０号,44205,0,9.9,佐伯市宇目大字大平,196,佐伯市宇目大字大平,182,378,1.14,0.07,50.1,51.6,8,50
44300100770,一般国道１０号,一般国道１０号,山袋久々姥線,44211,1,0.1,宇佐市山下,4110,宇佐市山下,3980,8090,1.23,0.63,26.1,15.2,12,70
44300100780,一般国道１０号,山袋久々姥線,宇佐本耶馬溪線,44211,1,2.5,宇佐市山下,4110,宇佐市山下,3980,8090,1.23,0.63,55.4,53.3,12,70
44300100790,一般国道１０号,宇佐本耶馬溪線,宇佐インター線,44211,1,1.8,宇佐市山下2281-2,3498,宇佐市山下2281-2,3184,6682,1.24,0.45,71.2,72.9,12,70
44300100795,一般国道１０号（宇佐別府道路）,宇佐インター線,東九州自動車道,44211,1,1.6,宇佐～院内,4732,宇佐～院内,4659,9391,1.24,1.14,62,62,10.5,70
44300100800,一般国道１０号（宇佐別府道路）,東九州自動車道,一般国道３８７号,44211,1,3,宇佐～院内,4732,宇佐～院内,4659,9391,1.24,1.14,62.8,76.9,10.5,70
44300100810,一般国道１０号（宇佐別府道路）,一般国道３８７号,山香院内線,44211,1,5.2,院内～安心院,5173,院内～安心院,5101,10274,1.24,0.84,82.1,77,10.5,70
44300100820,一般国道１０号（宇佐別府道路）,山香院内線,山香院内線,44211,1,6.3,安心院～大分農業文化公園,5295,安心院～大分農業文化公園,5201,10496,1.24,1.12,86.3,83.7,10.5,70
44300100830,一般国道１０号（宇佐別府道路）,山香院内線,宇佐市・杵築市境,44211,1,0.6,大分農業文化公園～速見,5605,大分農業文化公園～速見,5506,11111,1.23,0.9,89.6,86.3,10.5,70
44300100840,一般国道１０号（宇佐別府道路）,宇佐市・杵築市境,杵築市・日出町境,44210,1,5.5,大分農業文化公園～速見,5605,大分農業文化公園～速見,5506,11111,1.23,0.9,87,83.2,10.5,70
44300100850,一般国道１０号（宇佐別府道路）,杵築市・日出町境,九州横断自動車道長崎大分線,44341,1,0.2,大分農業文化公園～速見,5605,大分農業文化公園～速見,5506,11111,1.23,0.9,84.2,76.2,10.5,70
44300100870,一般国道１０号（日出バイパス）,九州横断自動車道長崎大分線,一般国道１０号,44341,1,9,速見～日出,1823,速見～日出,1705,3528,1.18,0.49,80.8,80.4,10.5,70
44300100890,一般国道１０号,中判田下郡線,東九州自動車道,44201,0,0.2,大分市大字下判田,12411,大分市大字下判田,12859,25270,1.29,0.69,36.5,20.8,29,60
44300100900,一般国道１０号,東九州自動車道,一般国道１９７号,44201,0,0.6,大分市大字下判田,12859,大分市大字下判田,12411,25270,1.29,0.69,15.9,55.7,29,60
44300100910,一般国道１０号,一般国道１９７号,一般国道１０号,44201,0,3.1,大分市大字下判田,12859,大分市大字下判田,12411,25270,1.29,0.69,42.7,14.1,29,60
44300570010,一般国道５７号,一般国道１０号,大分市・豊後大野市境,44201,0,0.3,豊後大野市犬飼町下津尾字下野,6320,豊後大野市犬飼町下津尾字下野,5505,11825,1.26,0.97,65,56.7,11.75,60
44300570020,一般国道５７号,大分市・豊後大野市境,一般国道５７号,44212,0,1.7,豊後大野市犬飼町下津尾字下野,6320,豊後大野市犬飼町下津尾字下野,5505,11825,1.26,1.3,65.1,62.1,12.25,60
44300570030,一般国道５７号,一般国道５７号,竹田犬飼線,44212,0,0.4,豊後大野市犬飼町下津尾字下野,6320,豊後大野市犬飼町下津尾字下野,5505,11825,1.26,1.3,67.2,70.7,12.25,60
44300570040,一般国道５７号,竹田犬飼線,一般国道３２６号,44212,0,0.3,豊後大野市犬飼町下津尾字下野,6320,豊後大野市犬飼町下津尾字下野,5505,11825,1.26,1.3,24.1,19,12.25,60
44300570190,一般国道５７号,竹田五ケ瀬線,一般国道４４２号,44208,0,0.9,竹田市会々,4696,竹田市会々,5062,9758,1.2,0.79,24.3,35.6,12,50
44300570200,一般国道５７号,一般国道４４２号,竹田五ケ瀬線,44208,0,0.7,竹田市飛田川,5515,竹田市飛田川,5178,10693,1.21,0.82,39.9,43,12,50
44300570210,一般国道５７号,竹田五ケ瀬線,一般国道５０２号,44208,0,0.5,竹田市飛田川,5515,竹田市飛田川,5178,10693,1.21,0.82,34.5,26.5,12,50
44300570220,一般国道５７号,一般国道５０２号,市道（旧：神原玉来線）,44208,0,1.6,竹田市大字拝田原,5595,竹田市大字拝田原,6213,11808,1.18,1.08,25.6,25.4,13,50
44300570230,一般国道５７号,市道（旧：神原玉来線）,高森竹田線,44208,0,0.3,竹田市大字穴井迫字庄屋,2864,竹田市大字穴井迫字庄屋,2871,5735,1.24,0.59,30.1,28.4,13,50
44300570240,一般国道５７号,高森竹田線,小川穴井迫線,44208,0,1.3,竹田市大字穴井迫字庄屋,2864,竹田市大字穴井迫字庄屋,2871,5735,1.24,0.59,41.1,42,13,50
